# Expression Atlas
# Query: Genes matching: 'R-MMU-3371556', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3718
# Selected columns: 6 (all)
# Timestamp: Sat, 02-Apr-2022 02:33:12
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMUSG00000000751	Rpa1	32.0	49.0	23.0	23.0	11.0	96.0
ENSMUSG00000001855	Nup214	20.0	23.0	9.0	17.0	5.0	55.0
ENSMUSG00000003226	Ranbp2	50.0	45.0	22.0	53.0	28.0	37.0
ENSMUSG00000005483	Dnajb1	105.0	93.0	43.0	61.0	54.0	379.0
ENSMUSG00000006005	Tpr	47.0	71.0	52.0	48.0	22.0	41.0
ENSMUSG00000007033	Hspa1l	3.0	2.0	2.0	0.9	0.2	227.0
ENSMUSG00000011096	Akt1s1	37.0	37.0	33.0	33.0	24.0	24.0
ENSMUSG00000012483	Rpa3	13.0	12.0	10.0	11.0	8.0	6.0
ENSMUSG00000014195	Dnajc7	113.0	115.0	45.0	63.0	26.0	121.0
ENSMUSG00000015656	Hspa8	671.0	705.0	383.0	670.0	475.0	52.0
ENSMUSG00000016528	Mapkapk2	39.0	45.0	309.0	114.0	53.0	60.0
ENSMUSG00000016619	Nup50	34.0	47.0	11.0	37.0	27.0	106.0
ENSMUSG00000020063	Sirt1	10.0	13.0	6.0	10.0	4.0	14.0
ENSMUSG00000020361	Hspa4	161.0	173.0	80.0	114.0	59.0	150.0
ENSMUSG00000020739	Nup85	35.0	45.0	14.0	16.0	10.0	24.0
ENSMUSG00000020849	Ywhae	948.0	1047.0	397.0	492.0	245.0	423.0
ENSMUSG00000021270	Hsp90aa1	522.0	427.0	49.0	175.0	99.0	577.0
ENSMUSG00000021374	Nup153	28.0	33.0	14.0	22.0	12.0	160.0
ENSMUSG00000021820	Camk2g	266.0	213.0	45.0	19.0	5.0	21.0
ENSMUSG00000022142	Nup155	14.0	16.0	6.0	11.0	10.0	26.0
ENSMUSG00000022403	St13	148.0	167.0	68.0	193.0	111.0	166.0
ENSMUSG00000022556	Hsf1	83.0	113.0	57.0	49.0	26.0	60.0
ENSMUSG00000022812	Gsk3b	92.0	82.0	21.0	25.0	11.0	34.0
ENSMUSG00000023944	Hsp90ab1	2048.0	2113.0	1506.0	1453.0	1213.0	339.0
ENSMUSG00000024142	Mlst8	34.0	45.0	9.0	11.0	6.0	8.0
ENSMUSG00000024359	Hspa9	201.0	235.0	455.0	569.0	316.0	207.0
ENSMUSG00000024617	Camk2a	1586.0	111.0	26.0	0.4	0.1	0.2
ENSMUSG00000025092	Hspa12a	179.0	135.0	26.0	27.0	0.9	9.0
ENSMUSG00000025583	Rptor	32.0	38.0	13.0	12.0	11.0	13.0
ENSMUSG00000025757	Hspa4l	116.0	180.0	35.0	37.0	17.0	653.0
ENSMUSG00000026864	Hspa5	270.0	326.0	289.0	292.0	587.0	286.0
ENSMUSG00000026999	Nup35	5.0	6.0	1.0	3.0	1.0	21.0
ENSMUSG00000027509	Rae1	53.0	40.0	18.0	30.0	15.0	61.0
ENSMUSG00000028416	Bag1	220.0	303.0	385.0	435.0	154.0	845.0
ENSMUSG00000028452	Vcp	116.0	143.0	126.0	139.0	116.0	80.0
ENSMUSG00000028614	Ndc1	13.0	13.0	7.0	9.0	4.0	12.0
ENSMUSG00000028991	Mtor	67.0	74.0	31.0	90.0	22.0	119.0
ENSMUSG00000029014	Dnajc2	19.0	14.0	11.0	18.0	7.0	91.0
ENSMUSG00000029131	Dnajb6	39.0	49.0	30.0	27.0	24.0	195.0
ENSMUSG00000029657	Hsph1	358.0	263.0	50.0	155.0	107.0	51.0
ENSMUSG00000030091	Nup210	20.0	22.0	2.0	10.0	8.0	4.0
ENSMUSG00000030298	Sec13	98.0	76.0	75.0	107.0	66.0	108.0
ENSMUSG00000030357	Fkbp4	170.0	358.0	368.0	259.0	188.0	611.0
ENSMUSG00000030847	Bag3	14.0	52.0	263.0	43.0	54.0	36.0
ENSMUSG00000031161	Hdac6	41.0	36.0	9.0	41.0	7.0	32.0
ENSMUSG00000031839	Hsbp1	478.0	407.0	284.0	314.0	156.0	972.0
ENSMUSG00000032060	Cryab	218.0	337.0	2944.0	331.0	6.0	4.0
ENSMUSG00000032932	Hspa13	22.0	19.0	7.0	18.0	14.0	14.0
ENSMUSG00000032939	Nup93	32.0	25.0	17.0	19.0	4.0	39.0
ENSMUSG00000033712	Ccar2	102.0	109.0	21.0	40.0	14.0	79.0
ENSMUSG00000034218	Atm	7.0	10.0	4.0	9.0	3.0	4.0
ENSMUSG00000034826	Nup54	16.0	19.0	10.0	18.0	12.0	13.0
ENSMUSG00000035351	Nup37	6.0	6.0	6.0	9.0	5.0	31.0
ENSMUSG00000036678	Aaas	25.0	33.0	12.0	16.0	10.0	34.0
ENSMUSG00000037316	Bag4	33.0	20.0	2.0	15.0	8.0	13.0
ENSMUSG00000037742	Eef1a1	2220.0	1616.0	724.0	3963.0	3027.0	1648.0
ENSMUSG00000038759	Nup205	21.0	22.0	7.0	14.0	6.0	211.0
ENSMUSG00000039509	Nup133	24.0	25.0	9.0	10.0	5.0	34.0
ENSMUSG00000040034	Nup43	5.0	6.0	3.0	7.0	2.0	26.0
